FUENCARRAL-EL PARDO,MIERCOLES,CAMION,CONDUCTOR,14,1.705E-7
MORATALAZ,MIERCOLES,MOTOCICLETA,CONDUCTOR,79,9.619E-7
ARGANZUELA,MIERCOLES,NO ASIGNADO,VIAJERO,2,2.44E-8
FUENCARRAL-EL PARDO,DOMINGO,AUTOBUS-AUTOCAR,VIAJERO,18,2.192E-7
CIUDAD LINEAL,MARTES,AUTOBUS-AUTOCAR,VIAJERO,25,3.044E-7
BARAJAS,MIERCOLES,BICICLETA,CONDUCTOR,11,1.339E-7
SAN BLAS,MARTES,AMBULANCIA,CONDUCTOR,3,3.65E-8
CENTRO,SABADO,CAMION,VIAJERO,7,8.52E-8
BARAJAS,DOMINGO,AUTO-TAXI,VIAJERO,2,2.44E-8
SAN BLAS,SABADO,VARIOS,VIAJERO,2,2.44E-8
TETUAN,VIERNES,VEH.3 RUEDAS,CONDUCTOR,1,1.22E-8
RETIRO,LUNES,NO ASIGNADO,TESTIGO,201,0.0000024475
RETIRO,SABADO,NO ASIGNADO,PEATON,55,6.697E-7
CHAMARTIN,MARTES,MOTOCICLETA,CONDUCTOR,460,0.0000056012
CHAMBERI,MIERCOLES,MOTOCICLETA,CONDUCTOR,468,0.0000056986
SALAMANCA,JUEVES,AUTO-TAXI,CONDUCTOR,116,0.0000014125
MONCLOA-ARAVACA,VIERNES,NO ASIGNADO,TESTIGO,213,0.0000025936
ARGANZUELA,MARTES,NO ASIGNADO,VIAJERO,1,1.22E-8
VICALVARO,MARTES,FURGONETA,CONDUCTOR,17,2.070E-7
MONCLOA-ARAVACA,MARTES,AUTOBUS-AUTOCAR,VIAJERO,11,1.339E-7
SALAMANCA,JUEVES,CICLOMOTOR,VIAJERO,2,2.44E-8
VILLA DE VALLECAS,VIERNES,VARIOS,VIAJERO,2,2.44E-8
SAN BLAS,LUNES,AUTOBUS-AUTOCAR,VIAJERO,19,2.314E-7
CHAMARTIN,MARTES,CAMION,CONDUCTOR,22,2.679E-7
HORTALEZA,DOMINGO,MOTOCICLETA,VIAJERO,4,4.87E-8
CHAMBERI,VIERNES,VARIOS,VIAJERO,4,4.87E-8
CARABANCHEL,DOMINGO,AMBULANCIA,VIAJERO,2,2.44E-8
SALAMANCA,LUNES,VEH.3 RUEDAS,CONDUCTOR,2,2.44E-8
USERA,DOMINGO,VEH.3 RUEDAS,CONDUCTOR,1,1.22E-8
TETUAN,DOMINGO,MOTOCICLETA,CONDUCTOR,120,0.0000014612
CIUDAD LINEAL,MIERCOLES,TURISMO,CONDUCTOR,969,0.0000117991
SAN BLAS,MARTES,CICLOMOTOR,CONDUCTOR,51,6.210E-7
ARGANZUELA,JUEVES,AUTOBUS-AUTOCAR,VIAJERO,27,3.288E-7
CARABANCHEL,LUNES,MOTOCICLETA,CONDUCTOR,182,0.0000022161
CIUDAD LINEAL,MARTES,FURGONETA,CONDUCTOR,76,9.254E-7
CARABANCHEL,JUEVES,TURISMO,PEATON,2,2.44E-8
HORTALEZA,VIERNES,AMBULANCIA,CONDUCTOR,2,2.44E-8
SALAMANCA,SABADO,AMBULANCIA,CONDUCTOR,2,2.44E-8
VICALVARO,DOMINGO,AUTOBUS-AUTOCAR,CONDUCTOR,1,1.22E-8
SALAMANCA,MIERCOLES,FURGONETA,CONDUCTOR,94,0.0000011446
MONCLOA-ARAVACA,LUNES,AUTO-TAXI,CONDUCTOR,32,3.896E-7
VICALVARO,JUEVES,TURISMO,VIAJERO,82,9.985E-7
PUENTE DE VALLECAS,VIERNES,AUTO-TAXI,CONDUCTOR,23,2.801E-7
ARGANZUELA,JUEVES,AUTOBUS-AUTOCAR,CONDUCTOR,30,3.653E-7
VILLA DE VALLECAS,SABADO,FURGONETA,CONDUCTOR,22,2.679E-7
HORTALEZA,DOMINGO,MOTOCICLETA,CONDUCTOR,42,5.114E-7
SAN BLAS,LUNES,CAMION,CONDUCTOR,20,2.435E-7
RETIRO,DOMINGO,VARIOS,CONDUCTOR,5,6.09E-8
VILLAVERDE,JUEVES,AUTO-TAXI,CONDUCTOR,6,7.31E-8
VILLA DE VALLECAS,JUEVES,AMBULANCIA,CONDUCTOR,1,1.22E-8
USERA,MIERCOLES,AUTOBUS-AUTOCAR,VIAJERO,31,3.775E-7
PUENTE DE VALLECAS,DOMINGO,CAMION,CONDUCTOR,5,6.09E-8
TETUAN,SABADO,CAMION,CONDUCTOR,7,8.52E-8
MONCLOA-ARAVACA,VIERNES,VARIOS,VIAJERO,1,1.22E-8
SALAMANCA,MARTES,VARIOS,VIAJERO,1,1.22E-8
BARAJAS,SABADO,TURISMO,CONDUCTOR,118,0.0000014368
PUENTE DE VALLECAS,MIERCOLES,NO ASIGNADO,TESTIGO,239,0.0000029102
USERA,VIERNES,TURISMO,VIAJERO,217,0.0000026423
MONCLOA-ARAVACA,JUEVES,NO ASIGNADO,TESTIGO,237,0.0000028858
CARABANCHEL,MARTES,NO ASIGNADO,TESTIGO,235,0.0000028615
MONCLOA-ARAVACA,JUEVES,CICLOMOTOR,CONDUCTOR,33,4.018E-7
CHAMBERI,LUNES,CAMION,CONDUCTOR,12,1.461E-7
PUENTE DE VALLECAS,MIERCOLES,FURGONETA,VIAJERO,26,3.166E-7
BARAJAS,VIERNES,NO ASIGNADO,TESTIGO,48,5.845E-7
TETUAN,LUNES,AUTOBUS-AUTOCAR,VIAJERO,28,3.409E-7
CARABANCHEL,MARTES,AUTOBUS-AUTOCAR,VIAJERO,31,3.775E-7
SAN BLAS,VIERNES,CAMION,CONDUCTOR,9,1.096E-7
SALAMANCA,MARTES,AMBULANCIA,VIAJERO,1,1.22E-8
SAN BLAS,MIERCOLES,VEH.3 RUEDAS,VIAJERO,1,1.22E-8
PUENTE DE VALLECAS,DOMINGO,AMBULANCIA,CONDUCTOR,1,1.22E-8
USERA,SABADO,TURISMO,VIAJERO,270,0.0000032877
VICALVARO,SABADO,NO ASIGNADO,TESTIGO,32,3.896E-7
CIUDAD LINEAL,MIERCOLES,CICLOMOTOR,CONDUCTOR,38,4.627E-7
VILLAVERDE,VIERNES,NO ASIGNADO,TESTIGO,102,0.0000012420
SALAMANCA,JUEVES,VARIOS,CONDUCTOR,16,1.948E-7
CHAMARTIN,VIERNES,CICLOMOTOR,VIAJERO,10,1.218E-7
USERA,MARTES,AUTO-TAXI,VIAJERO,5,6.09E-8
VILLA DE VALLECAS,DOMINGO,TURISMO,VIAJERO,15,1.826E-7
SAN BLAS,JUEVES,AMBULANCIA,CONDUCTOR,3,3.65E-8
VICALVARO,JUEVES,CAMION,CONDUCTOR,8,9.74E-8
VICALVARO,VIERNES,FURGONETA,VIAJERO,2,2.44E-8
FUENCARRAL-EL PARDO,DOMINGO,TURISMO,CONDUCTOR,487,0.0000059300
LATINA,DOMINGO,NO ASIGNADO,PEATON,71,8.645E-7
USERA,DOMINGO,AUTOBUS-AUTOCAR,VIAJERO,18,2.192E-7
RETIRO,MIERCOLES,FURGONETA,CONDUCTOR,81,9.863E-7
ARGANZUELA,VIERNES,NO ASIGNADO,PEATON,94,0.0000011446
MONCLOA-ARAVACA,DOMINGO,BICICLETA,CONDUCTOR,83,0.0000010107
TETUAN,LUNES,BICICLETA,CONDUCTOR,30,3.653E-7
CENTRO,SABADO,AMBULANCIA,VIAJERO,2,2.44E-8
USERA,DOMINGO,AMBULANCIA,CONDUCTOR,2,2.44E-8
SALAMANCA,DOMINGO,CAMION,CONDUCTOR,6,7.31E-8
MONCLOA-ARAVACA,MIERCOLES,FURGONETA,VIAJERO,14,1.705E-7
MORATALAZ,VIERNES,AMBULANCIA,CONDUCTOR,1,1.22E-8
ARGANZUELA,MIERCOLES,VARIOS,VIAJERO,5,6.09E-8
CENTRO,JUEVES,CAMION,VIAJERO,5,6.09E-8
FUENCARRAL-EL PARDO,JUEVES,AUTOBUS-AUTOCAR,CONDUCTOR,21,2.557E-7
VICALVARO,LUNES,TURISMO,VIAJERO,62,7.549E-7
TETUAN,JUEVES,AUTOBUS-AUTOCAR,CONDUCTOR,28,3.409E-7
ARGANZUELA,LUNES,VARIOS,CONDUCTOR,14,1.705E-7
HORTALEZA,JUEVES,AUTO-TAXI,CONDUCTOR,12,1.461E-7
SALAMANCA,JUEVES,AUTOBUS-AUTOCAR,CONDUCTOR,48,5.845E-7
PUENTE DE VALLECAS,LUNES,AUTOBUS-AUTOCAR,VIAJERO,40,4.871E-7
FUENCARRAL-EL PARDO,JUEVES,AUTO-TAXI,VIAJERO,8,9.74E-8
HORTALEZA,MARTES,AUTO-TAXI,CONDUCTOR,20,2.435E-7
VILLA DE VALLECAS,JUEVES,TURISMO,VIAJERO,5,6.09E-8
BARAJAS,LUNES,AUTOBUS-AUTOCAR,VIAJERO,8,9.74E-8
SALAMANCA,MARTES,AMBULANCIA,CONDUCTOR,6,7.31E-8
ARGANZUELA,LUNES,BICICLETA,VIAJERO,1,1.22E-8
FUENCARRAL-EL PARDO,LUNES,AUTO-TAXI,TESTIGO,1,1.22E-8
VICALVARO,DOMINGO,AUTOBUS-AUTOCAR,VIAJERO,2,2.44E-8
MONCLOA-ARAVACA,VIERNES,FURGONETA,CONDUCTOR,62,7.549E-7
FUENCARRAL-EL PARDO,MIERCOLES,NO ASIGNADO,TESTIGO,235,0.0000028615
ARGANZUELA,VIERNES,BICICLETA,CONDUCTOR,33,4.018E-7
USERA,DOMINGO,MOTOCICLETA,CONDUCTOR,45,5.479E-7
FUENCARRAL-EL PARDO,JUEVES,MOTOCICLETA,VIAJERO,10,1.218E-7
SAN BLAS,MARTES,AUTOBUS-AUTOCAR,VIAJERO,18,2.192E-7
SAN BLAS,SABADO,AUTO-TAXI,CONDUCTOR,9,1.096E-7
MONCLOA-ARAVACA,DOMINGO,CICLOMOTOR,VIAJERO,2,2.44E-8
CHAMBERI,MIERCOLES,VARIOS,VIAJERO,3,3.65E-8
CARABANCHEL,SABADO,NO ASIGNADO,VIAJERO,1,1.22E-8
PUENTE DE VALLECAS,SABADO,AUTOBUS-AUTOCAR,TESTIGO,1,1.22E-8
MONCLOA-ARAVACA,MARTES,AMBULANCIA,CONDUCTOR,1,1.22E-8
CENTRO,SABADO,VEH.3 RUEDAS,CONDUCTOR,1,1.22E-8
CENTRO,LUNES,TURISMO,VIAJERO,179,0.0000021796
ARGANZUELA,LUNES,FURGONETA,CONDUCTOR,81,9.863E-7
RETIRO,MARTES,AUTO-TAXI,CONDUCTOR,78,9.498E-7
USERA,VIERNES,NO ASIGNADO,PEATON,115,0.0000014003
CHAMARTIN,MARTES,VARIOS,CONDUCTOR,9,1.096E-7
MORATALAZ,VIERNES,FURGONETA,CONDUCTOR,30,3.653E-7
SAN BLAS,VIERNES,AUTOBUS-AUTOCAR,VIAJERO,35,4.262E-7
VILLAVERDE,MIERCOLES,BICICLETA,CONDUCTOR,10,1.218E-7
ARGANZUELA,MARTES,FURGONETA,VIAJERO,24,2.922E-7
VILLA DE VALLECAS,MARTES,CICLOMOTOR,CONDUCTOR,2,2.44E-8
SALAMANCA,SABADO,CAMION,CONDUCTOR,11,1.339E-7
MONCLOA-ARAVACA,MIERCOLES,MOTOCICLETA,TESTIGO,1,1.22E-8
VILLA DE VALLECAS,MIERCOLES,TURISMO,CONDUCTOR,306,0.0000037260
TETUAN,MIERCOLES,NO ASIGNADO,PEATON,108,0.0000013151
LATINA,SABADO,NO ASIGNADO,PEATON,93,0.0000011324
MORATALAZ,MIERCOLES,AUTOBUS-AUTOCAR,CONDUCTOR,9,1.096E-7
CHAMBERI,MARTES,AUTO-TAXI,CONDUCTOR,93,0.0000011324
USERA,LUNES,CICLOMOTOR,CONDUCTOR,13,1.583E-7
CARABANCHEL,JUEVES,MOTOCICLETA,VIAJERO,13,1.583E-7
RETIRO,VIERNES,AUTO-TAXI,VIAJERO,37,4.505E-7
CHAMARTIN,MIERCOLES,VARIOS,CONDUCTOR,24,2.922E-7
CHAMBERI,SABADO,AUTOBUS-AUTOCAR,CONDUCTOR,16,1.948E-7
BARAJAS,SABADO,NO ASIGNADO,PEATON,17,2.070E-7
CHAMBERI,MARTES,CAMION,CONDUCTOR,14,1.705E-7
FUENCARRAL-EL PARDO,JUEVES,AMBULANCIA,CONDUCTOR,3,3.65E-8
VILLA DE VALLECAS,MIERCOLES,MOTOCICLETA,VIAJERO,2,2.44E-8
ARGANZUELA,MARTES,AMBULANCIA,VIAJERO,2,2.44E-8
TETUAN,DOMINGO,FURGONETA,VIAJERO,2,2.44E-8
CHAMARTIN,LUNES,TURISMO,TESTIGO,1,1.22E-8
CENTRO,LUNES,VARIOS,CONDUCTOR,1,1.22E-8
CHAMARTIN,MIERCOLES,VEH.3 RUEDAS,CONDUCTOR,2,2.44E-8
ARGANZUELA,LUNES,TURISMO,CONDUCTOR,584,0.0000071111
VILLAVERDE,SABADO,FURGONETA,CONDUCTOR,18,2.192E-7
CHAMARTIN,LUNES,FURGONETA,VIAJERO,12,1.461E-7
CARABANCHEL,LUNES,VARIOS,CONDUCTOR,12,1.461E-7
CENTRO,MIERCOLES,FURGONETA,VIAJERO,22,2.679E-7
ARGANZUELA,DOMINGO,VARIOS,VIAJERO,6,7.31E-8
USERA,DOMINGO,MOTOCICLETA,VIAJERO,7,8.52E-8
CENTRO,DOMINGO,VARIOS,CONDUCTOR,8,9.74E-8
CHAMARTIN,SABADO,VARIOS,VIAJERO,4,4.87E-8
CIUDAD LINEAL,VIERNES,CICLOMOTOR,VIAJERO,5,6.09E-8
SAN BLAS,VIERNES,AMBULANCIA,VIAJERO,1,1.22E-8
ARGANZUELA,SABADO,CICLOMOTOR,CONDUCTOR,39,4.749E-7
SAN BLAS,JUEVES,TURISMO,VIAJERO,194,0.0000023623
CENTRO,DOMINGO,CICLOMOTOR,CONDUCTOR,52,6.332E-7
VILLA DE VALLECAS,MARTES,CAMION,CONDUCTOR,27,3.288E-7
HORTALEZA,MIERCOLES,MOTOCICLETA,CONDUCTOR,144,0.0000017534
CHAMBERI,JUEVES,TURISMO,VIAJERO,166,0.0000020213
PUENTE DE VALLECAS,JUEVES,FURGONETA,VIAJERO,15,1.826E-7
LATINA,SABADO,MOTOCICLETA,VIAJERO,12,1.461E-7
PUENTE DE VALLECAS,MARTES,AUTO-TAXI,CONDUCTOR,19,2.314E-7
CENTRO,JUEVES,FURGONETA,VIAJERO,14,1.705E-7
VILLAVERDE,JUEVES,MOTOCICLETA,VIAJERO,3,3.65E-8
VILLA DE VALLECAS,SABADO,AUTOBUS-AUTOCAR,CONDUCTOR,2,2.44E-8
ARGANZUELA,SABADO,CAMION,VIAJERO,1,1.22E-8
CARABANCHEL,DOMINGO,AMBULANCIA,CONDUCTOR,1,1.22E-8
VILLA DE VALLECAS,DOMINGO,CICLOMOTOR,VIAJERO,2,2.44E-8
CIUDAD LINEAL,VIERNES,CICLOMOTOR,TESTIGO,1,1.22E-8
CIUDAD LINEAL,MARTES,CICLOMOTOR,CONDUCTOR,51,6.210E-7
MONCLOA-ARAVACA,LUNES,TURISMO,VIAJERO,193,0.0000023501
SAN BLAS,MIERCOLES,TURISMO,VIAJERO,180,0.0000021918
CIUDAD LINEAL,JUEVES,FURGONETA,CONDUCTOR,73,8.889E-7
CENTRO,MIERCOLES,CICLOMOTOR,CONDUCTOR,64,7.793E-7
LATINA,SABADO,BICICLETA,CONDUCTOR,45,5.479E-7
FUENCARRAL-EL PARDO,SABADO,CAMION,CONDUCTOR,6,7.31E-8
MORATALAZ,SABADO,FURGONETA,CONDUCTOR,17,2.070E-7
CENTRO,LUNES,FURGONETA,VIAJERO,10,1.218E-7
LATINA,VIERNES,CICLOMOTOR,VIAJERO,4,4.87E-8
SALAMANCA,MIERCOLES,CAMION,CONDUCTOR,28,3.409E-7
CHAMARTIN,MARTES,VARIOS,VIAJERO,2,2.44E-8
HORTALEZA,JUEVES,AUTOBUS-AUTOCAR,CONDUCTOR,12,1.461E-7
FUENCARRAL-EL PARDO,SABADO,AUTOBUS-AUTOCAR,CONDUCTOR,8,9.74E-8
FUENCARRAL-EL PARDO,MARTES,AMBULANCIA,CONDUCTOR,1,1.22E-8
LATINA,SABADO,VARIOS,VIAJERO,2,2.44E-8
USERA,JUEVES,AMBULANCIA,VIAJERO,2,2.44E-8
MONCLOA-ARAVACA,DOMINGO,CAMION,VIAJERO,4,4.87E-8
PUENTE DE VALLECAS,JUEVES,CAMION,VIAJERO,1,1.22E-8
CIUDAD LINEAL,VIERNES,TURISMO,CONDUCTOR,1139,0.0000138691
PUENTE DE VALLECAS,SABADO,NO ASIGNADO,PEATON,88,0.0000010715
CENTRO,MARTES,TURISMO,CONDUCTOR,568,0.0000069163
CIUDAD LINEAL,DOMINGO,TURISMO,VIAJERO,313,0.0000038113
MONCLOA-ARAVACA,MIERCOLES,CICLOMOTOR,CONDUCTOR,38,4.627E-7
LATINA,LUNES,MOTOCICLETA,CONDUCTOR,141,0.0000017169
CIUDAD LINEAL,LUNES,AUTO-TAXI,CONDUCTOR,36,4.384E-7
